item_id,label
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_1,"[2, 2, 2, 1, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_6,"[2, 2, 2, 2, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
1030-adb61831-0383-4e51-a673-ab978590f69b#_#actionability#_#Tutor_8,"[1, 1, 1, 1, 1]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_2,"[0, 0, 0, 0, 0]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_5,"[2, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_6,"[1, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
862-a856b5c7-e9e4-4cfe-a527-c5daf716d206#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_1,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_2,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_3,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_4,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_5,"[0, 0, 0, 0, 0]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_6,"[1, 1, 1, 1, 1]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_7,"[2, 2, 2, 2, 2]"
2831-50592f5d-0f3b-48ae-bf93-f60d1027f191#_#actionability#_#Tutor_8,"[2, 2, 2, 2, 2]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_1,"[1, 1, 1, 1, 1]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_2,"[0, 0, 0, 0, 0]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_3,"[0, 0, 0, 0, 0]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_4,"[1, 0, 0, 0, 0]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_5,"[2, 2, 2, 1, 2]"
5210-0bbae981-7c77-46f5-94ed-247d31dc24cc#_#actionability#_#Tutor_6,"[1, 1, 1, 1, 1]"
